ID	Category	DayOfWeek	Month	Hour
15046293	ROBBERY	Tuesday	May	10AM
111008842	ROBBERY	Friday	October	10PM
120883392	ROBBERY	Thursday	October	10PM
130910474	ROBBERY	Monday	December	1PM
140240954	ROBBERY	Tuesday	August	8AM
140471416	ROBBERY	Monday	December	9PM
150000293	ROBBERY	Thursday	January	1AM
150000356	ROBBERY	Thursday	January	2AM
150000629	ROBBERY	Thursday	January	3AM
150000691	ROBBERY	Thursday	January	1AM
150000726	ROBBERY	Thursday	January	3AM
150000748	ROBBERY	Thursday	January	4AM
150000817	ROBBERY	Thursday	January	4AM
150001473	ROBBERY	Thursday	January	2AM
150001699	ROBBERY	Thursday	January	1PM
150002164	ROBBERY	Thursday	January	4PM
150002675	ROBBERY	Thursday	January	12AM
150002813	ROBBERY	Thursday	January	9PM
150003219	ROBBERY	Friday	January	7AM
150003394	ROBBERY	Friday	January	9AM
150003623	ROBBERY	Friday	January	10AM
150003720	ROBBERY	Friday	January	10AM
150005209	ROBBERY	Friday	January	6PM
150005447	ROBBERY	Friday	January	6PM
150006194	ROBBERY	Saturday	January	2AM
150006627	ROBBERY	Saturday	January	9AM
150007807	ROBBERY	Saturday	January	4PM
150007926	ROBBERY	Saturday	January	5PM
150008087	ROBBERY	Saturday	January	6PM
150008219	ROBBERY	Saturday	January	7PM
150008344	ROBBERY	Saturday	January	8PM
150008372	ROBBERY	Saturday	January	8PM
150008639	ROBBERY	Saturday	January	6PM
150008764	ROBBERY	Saturday	January	10PM
150009029	ROBBERY	Sunday	January	1AM
150009198	ROBBERY	Sunday	January	3AM
150009295	ROBBERY	Sunday	January	7AM
150009756	ROBBERY	Sunday	January	11AM
150010311	ROBBERY	Sunday	January	1AM
150010452	ROBBERY	Sunday	January	4PM
150010480	ROBBERY	Sunday	January	4AM
150011074	ROBBERY	Sunday	January	8PM
150011444	ROBBERY	Sunday	January	11PM
150011660	ROBBERY	Monday	January	2AM
150012226	ROBBERY	Monday	January	9AM
150012339	ROBBERY	Monday	January	9AM
150012975	ROBBERY	Thursday	January	3AM
150013070	ROBBERY	Monday	January	12PM
150013462	ROBBERY	Sunday	January	12PM
150013757	ROBBERY	Monday	January	3PM
150013860	ROBBERY	Monday	January	5PM
150013898	ROBBERY	Monday	January	3PM
150014385	ROBBERY	Monday	January	7PM
150016369	ROBBERY	Tuesday	January	12PM
150016585	ROBBERY	Tuesday	January	2PM
150017066	ROBBERY	Tuesday	January	2PM
150017414	ROBBERY	Tuesday	January	5PM
150017737	ROBBERY	Tuesday	January	7PM
150017884	ROBBERY	Tuesday	January	8PM
150018036	ROBBERY	Tuesday	January	9PM
150018058	ROBBERY	Tuesday	January	9PM
150018092	ROBBERY	Tuesday	January	8PM
150018127	ROBBERY	Tuesday	January	9PM
150018406	ROBBERY	Tuesday	January	11PM
150018553	ROBBERY	Wednesday	January	1AM
150018616	ROBBERY	Tuesday	January	4PM
150019084	ROBBERY	Thursday	January	4AM
150020558	ROBBERY	Wednesday	January	4PM
150020821	ROBBERY	Friday	January	12PM
150020984	ROBBERY	Wednesday	January	7PM
150021067	ROBBERY	Wednesday	January	7PM
150021421	ROBBERY	Wednesday	January	10PM
150021471	ROBBERY	Wednesday	January	11PM
150021675	ROBBERY	Thursday	January	1AM
150021700	ROBBERY	Thursday	January	1AM
150021750	ROBBERY	Thursday	January	1AM
150021879	ROBBERY	Thursday	January	6AM
150022877	ROBBERY	Thursday	January	2AM
150023035	ROBBERY	Thursday	January	10AM
150023615	ROBBERY	Thursday	January	4PM
150023994	ROBBERY	Thursday	January	3PM
150024209	ROBBERY	Thursday	January	6PM
150024481	ROBBERY	Thursday	January	8PM
150024594	ROBBERY	Thursday	January	9PM
150024986	ROBBERY	Friday	January	11PM
150025003	ROBBERY	Thursday	January	11PM
150025069	ROBBERY	Friday	January	12AM
150025138	ROBBERY	Friday	January	1AM
150025213	ROBBERY	Friday	January	3AM
150025699	ROBBERY	Wednesday	January	8AM
150026073	ROBBERY	Friday	January	12PM
150026261	ROBBERY	Wednesday	January	2AM
150026318	ROBBERY	Friday	January	1PM
150026465	ROBBERY	Friday	January	2PM
150026910	ROBBERY	Friday	January	4PM
150026976	ROBBERY	Friday	January	5PM
150027043	ROBBERY	Friday	January	5PM
150027178	ROBBERY	Friday	January	6AM
150027300	ROBBERY	Friday	January	6PM
150027322	ROBBERY	Friday	January	6PM
150027463	ROBBERY	Friday	January	7PM
150027485	ROBBERY	Friday	January	7PM
150027532	ROBBERY	Friday	January	8PM
150027689	ROBBERY	Friday	January	9PM
150027877	ROBBERY	Friday	January	10PM
150027952	ROBBERY	Friday	January	10PM
150028079	ROBBERY	Friday	January	11PM
150028461	ROBBERY	Saturday	January	7AM
150028524	ROBBERY	Saturday	January	6AM
150028825	ROBBERY	Saturday	January	10AM
150029168	ROBBERY	Saturday	January	9AM
150029293	ROBBERY	Saturday	January	12PM
150029362	ROBBERY	Wednesday	January	9PM
150029663	ROBBERY	Saturday	January	4PM
150029986	ROBBERY	Saturday	January	6PM
150030143	ROBBERY	Saturday	January	6PM
150030369	ROBBERY	Saturday	January	8PM
150030397	ROBBERY	Saturday	January	8PM
150030579	ROBBERY	Saturday	January	10PM
150030585	ROBBERY	Saturday	January	10PM
150030632	ROBBERY	Saturday	January	10PM
150030660	ROBBERY	Saturday	January	11PM
150030717	ROBBERY	Saturday	January	11PM
150030858	ROBBERY	Sunday	January	1AM
150030955	ROBBERY	Sunday	January	12AM
150031050	ROBBERY	Sunday	January	3AM
150031113	ROBBERY	Sunday	January	4AM
150031862	ROBBERY	Saturday	January	7PM
150031884	ROBBERY	Sunday	January	12PM
150032036	ROBBERY	Sunday	January	2PM
150032199	ROBBERY	Friday	January	11PM
150032246	ROBBERY	Sunday	January	3PM
150032296	ROBBERY	Saturday	January	1AM
150032967	ROBBERY	Sunday	January	7PM
150033006	ROBBERY	Sunday	January	8PM
150033125	ROBBERY	Sunday	January	8PM
150033294	ROBBERY	Sunday	January	10PM
150033432	ROBBERY	Monday	January	1AM
150033589	ROBBERY	Monday	January	2AM
150033824	ROBBERY	Monday	January	5AM
150034424	ROBBERY	Friday	January	7PM
150034515	ROBBERY	Monday	January	12PM
150034656	ROBBERY	Monday	January	12PM
150035206	ROBBERY	Monday	January	2PM
150035278	ROBBERY	Monday	January	1PM
150035472	ROBBERY	Monday	January	4PM
150035660	ROBBERY	Monday	January	5PM
150035745	ROBBERY	Monday	January	5PM
150036561	ROBBERY	Monday	January	9PM
150036840	ROBBERY	Tuesday	January	12AM
150036884	ROBBERY	Tuesday	January	1AM
